символизация,нормализованные потери,марка,вид топлива,стремление,количество дверей,тип кузова,ведущий мост,расположение двигателя,колесная база,длина,ширина,высота,снаряженная масса,тип двигателя,количество цилиндров,объем двигателя,топливная система,диаметр отверстия,ход,степень сжатия,мощность двигателя,пиковые обороты,городской режим,шоссейный режим,цена
1.7822151188573638,-0.20620269780137498,alfa-romero,gas,std,two,convertible,rwd,front,-1.6780149186221103,-0.44287242897939294,-0.8390804491182454,-2.1170915075113426,-0.02564604393635342,dohc,four,0.04509803509331155,mpfi,3.47,2.68,-0.28752473721971916,111,5000,-0.6772919807504212,-0.5556131438227186,0.025957713158758302
1.7822151188573638,-0.20620269780137498,alfa-romero,gas,std,two,convertible,rwd,front,-1.6780149186221103,-0.44287242897939294,-0.8390804491182454,-2.1170915075113426,-0.02564604393635342,dohc,four,0.04509803509331155,mpfi,3.47,2.68,-0.28752473721971916,111,5000,-0.6772919807504212,-0.5556131438227186,0.3974460564559639
0.1635444462010287,-0.20620269780137498,alfa-romero,gas,std,two,hatchback,rwd,front,-0.7190409724063022,-0.2505430561092886,-0.1842002141334101,-0.6138159025865797,0.4964727830379302,ohcv,six,0.5740655958839219,mpfi,2.68,3.47,-0.28752473721971916,154,5000,-0.9903874353248674,-0.7023071749551192,0.3974460564559639
0.9728797825291965,1.3635213195682572,audi,gas,std,four,sedan,fwd,front,0.14241019961806653,0.18219803284845068,0.1432399033590076,0.17957955556815544,-0.4262535802693492,ohc,four,-0.45982554566136197,mpfi,3.19,3.40,-0.03610993890780454,102,5500,-0.20764879888875193,-0.11553105042551742,0.08220636414053153
0.9728797825291965,1.3635213195682572,audi,gas,std,four,sedan,4wd,front,0.0773950168237759,0.18219803284845068,0.23679422264255645,0.17957955556815544,0.4983713969542003,ohc,five,0.18936191530893254,mpfi,3.19,3.40,-0.5389395355316339,115,5500,-1.1469351626120905,-1.2890832994847208,0.5148882947695564
0.9728797825291965,-0.20620269780137498,audi,gas,std,two,sedan,fwd,front,0.14241019961806653,0.23829409993556633,0.1900170630007787,-0.32151231274009695,-0.10348921450342843,ohc,five,0.18936191530893254,mpfi,3.19,3.40,-0.4132321363756765,110,5500,-0.9903874353248674,-0.8490012060875195,0.24291679551702647
0.1635444462010287,1.178847905760065,audi,gas,std,four,sedan,fwd,front,1.1176379415324469,1.472407575852079,2.5756522047312447,0.764186735261121,0.5363436752796027,ohc,five,0.18936191530893254,mpfi,3.19,3.40,-0.4132321363756765,110,5500,-0.9903874353248674,-0.8490012060875195,0.5470303810448554
0.1635444462010287,-0.20620269780137498,audi,gas,std,four,wagon,fwd,front,1.1176379415324469,1.472407575852079,2.5756522047312447,0.764186735261121,0.7451912060693161,ohc,five,0.18936191530893254,mpfi,3.19,3.40,-0.4132321363756765,110,5500,-0.9903874353248674,-0.8490012060875195,0.6966147056337468
0.1635444462010287,1.178847905760065,audi,gas,turbo,four,sedan,fwd,front,1.1176379415324469,1.472407575852079,2.5756522047312447,0.8477020466458283,0.9958082430169722,ohc,five,0.06914201512924839,mpfi,3.13,3.40,-0.4635150960380593,140,5500,-1.3034828898993138,-1.5824713617495214,1.309168695995695
0.9728797825291965,2.225330584006486,bmw,gas,std,two,sedan,rwd,front,0.3699633393980895,0.19822548058762754,-0.5116403316258278,0.17957955556815544,-0.31613397312568203,ohc,four,-0.4838695256972988,mpfi,3.50,2.80,-0.337807696882102,101,5800,-0.36419652617597503,-0.26222508155791785,0.3887924178433835
-0.6457908901271389,2.225330584006486,bmw,gas,std,four,sedan,rwd,front,0.3699633393980895,0.19822548058762754,-0.5116403316258278,0.17957955556815544,-0.31613397312568203,ohc,four,-0.4838695256972988,mpfi,3.50,2.80,-0.337807696882102,101,5800,-0.36419652617597503,-0.26222508155791785,0.4499860051752027
-0.6457908901271389,2.102214974801025,bmw,gas,std,two,sedan,rwd,front,0.3699633393980895,0.19822548058762754,-0.5116403316258278,0.17957955556815544,0.2819294104994064,ohc,six,0.8625933563151639,mpfi,3.31,3.19,-0.28752473721971916,121,4250,-0.6772919807504212,-0.4089191126903182,0.9500426935736043
-0.6457908901271389,2.102214974801025,bmw,gas,std,four,sedan,rwd,front,0.3699633393980895,0.19822548058762754,-0.5116403316258278,0.17957955556815544,0.3863531758942631,ohc,six,0.8625933563151639,mpfi,3.31,3.19,-0.28752473721971916,121,4250,-0.6772919807504212,-0.4089191126903182,0.9667318537550095
0.1635444462010287,-0.20620269780137498,bmw,gas,std,four,sedan,rwd,front,0.7438006404652682,1.175899792677333,0.4706800208514253,0.764186735261121,0.9369512116125985,ohc,six,0.8625933563151639,mpfi,3.31,3.19,-0.28752473721971916,121,4250,-0.8338397080376443,-0.8490012060875195,1.3944688480339884
-0.6457908901271389,-0.20620269780137498,bmw,gas,std,four,sedan,rwd,front,0.7438006404652682,1.175899792677333,0.4706800208514253,0.764186735261121,1.2692086469598698,ohc,six,1.9445724579323216,mpfi,3.62,3.39,-0.5389395355316339,182,5400,-1.4600306171865367,-1.2890832994847208,2.1603158652473624
-0.6457908901271389,-0.20620269780137498,bmw,gas,std,four,sedan,rwd,front,1.8002973608725135,1.8169977022443533,2.341766406522376,1.0147326694152456,1.7913274739341534,ohc,six,1.9445724579323216,mpfi,3.62,3.39,-0.5389395355316339,182,5400,-1.61657834447376,-1.5824713617495214,2.9168911268044
0.1635444462010287,-0.667886232321855,chevrolet,gas,std,two,hatchback,fwd,front,-0.7190409724063022,-1.4766428081562137,-1.0729662473271109,-0.7808465253559972,-1.3053118235024155,ohc,four,-0.9166611663441618,2bbl,3.03,3.11,-0.1366758582325705,70,5400,1.9840193831323718,1.791491354295688,-0.8641308298495214
